tips	new_tips
GCA.000405685.1.Archaea.Thermoproteota_ASPF01000004.1_6	GCA.000405685.1.Archaea.Thermoproteota_1
GCA.003019535.1.Archaea.Thermoproteota_NEXG01000045.1_7	GCA.003019535.1.Archaea.Thermoproteota_1
GCF.000019605.1.Archaea.Thermoproteota_NC_010482.1_1090	GCF.000019605.1.Archaea.Thermoproteota_1
GCF.000092185.1.Archaea.Thermoproteota_NC_014160.1_611	GCF.000092185.1.Archaea.Thermoproteota_1
GCA.001940655.1.Archaea.Asgardarchaeota_MBAA01000076.1_20	GCA.001940655.1.Archaea.Asgardarchaeota_1
GCF.000011205.1.Archaea.Thermoproteota_NC_003106.2_1600	GCF.000011205.1.Archaea.Thermoproteota_1
GCF.001481685.1.Archaea.Thermoproteota_NZ_CP006867.1_1459	GCF.001481685.1.Archaea.Thermoproteota_1
GCF.000148385.1.Archaea.Thermoproteota_NC_014537.1_2039	GCF.000148385.1.Archaea.Thermoproteota_1
GCA.001587715.1.Archaea.Methanobacteriota.B_LNGC01000018.1_5	GCA.001587715.1.Archaea.Methanobacteriota.B_1
GCA.002495235.1.Archaea.Thermoplasmatota_DAEG01000055.1_14	GCA.002495235.1.Archaea.Thermoplasmatota_1
GCA.002011355.1.Archaea.Thermoplasmatota_MTNE01000190.1_4	GCA.002011355.1.Archaea.Thermoplasmatota_1
GCA.002878135.1.Archaea.Thermoplasmatota_PNIT01000030.1_6	GCA.002878135.1.Archaea.Thermoplasmatota_1
GCA.002255045.1.Archaea.Thermoproteota_NJEE01000027.1_16	GCA.002255045.1.Archaea.Thermoproteota_1
GCF.002214485.1.Archaea.Methanobacteriota.B_NZ_CP015102.1_185	GCF.002214485.1.Archaea.Methanobacteriota.B_1
GCF.002078355.1.Archaea.Thermoplasmatota_NZ_CP015363.1_1127	GCF.002078355.1.Archaea.Thermoplasmatota_1
GCF.002201895.1.Archaea.Euryarchaeota_NZ_CP019436.1_197	GCF.002201895.1.Archaea.Euryarchaeota_1
GCA.002495185.1.Archaea.Thermoplasmatota_DAEB01000043.1_15	GCA.002495185.1.Archaea.Thermoplasmatota_1
GCF.002114285.1.Archaea.Halobacteriota_NZ_NEDJ01000033.1_23	GCF.002114285.1.Archaea.Halobacteriota_1
GCA.002011165.1.Archaea.Halobacteriota_MTMI01000009.1_4	GCA.002011165.1.Archaea.Halobacteriota_1
GCA.001766825.1.Archaea.Halobacteriota_LYOR01000006.1_38	GCA.001766825.1.Archaea.Halobacteriota_1
GCA.003194435.1.Archaea.Halobacteriota_PQXC01000004.1_59	GCA.003194435.1.Archaea.Halobacteriota_1
GCF.000970205.1.Archaea.Halobacteriota_NZ_CP009512.1_3471	GCF.000970205.1.Archaea.Halobacteriota_1
GCF.000011005.1.Archaea.Euryarchaeota_NC_013665.1_666	GCF.000011005.1.Archaea.Euryarchaeota_1
GCF.000194625.1.Archaea.Halobacteriota_NC_015320.1_275	GCF.000194625.1.Archaea.Halobacteriota_1
GCF.000025525.1.Archaea.Methanobacteriota.A_NC_013887.1_1361	GCF.000025525.1.Archaea.Methanobacteriota.A_1
GCA.003023725.1.Bacteria.Firmicutes.E_PXYT01000060.1_14	GCA.003023725.1.Bacteria.Firmicutes.E_1
GCA.003232385.1.Bacteria.SZUA.79_QIJE01000028.1_103	GCA.003232385.1.Bacteria.SZUA.79_1
GCA.001829315.1.Bacteria.Spirochaetota_MIAY01000014.1_88	GCA.001829315.1.Bacteria.Spirochaetota_1
GCF.003612015.1.Bacteria.Proteobacteria_NZ_RARB01000001.1_390	GCF.003612015.1.Bacteria.Proteobacteria_1
GCF.000192575.1.Bacteria.Proteobacteria_NZ_GL876933.1_795	GCF.000192575.1.Bacteria.Proteobacteria_1
GCA.001897475.1.Bacteria.Proteobacteria_MKSY01000025.1_42	GCA.001897475.1.Bacteria.Proteobacteria_1
GCA.001769805.1.Bacteria.Bdellovibrionota_MEPO01000032.1_103	GCA.001769805.1.Bacteria.Bdellovibrionota_1
GCA.001768075.1.Bacteria.Myxococcota_MEMX01000031.1_22	GCA.001768075.1.Bacteria.Myxococcota_1
GCA.001768075.1.Bacteria.Myxococcota_MEMX01000031.1_30	GCA.001768075.1.Bacteria.Myxococcota_2
GCA.002632265.1.Bacteria.Proteobacteria_NQOV01000004.1_6	GCA.002632265.1.Bacteria.Proteobacteria_1
GCA.001797335.1.Bacteria.Bdellovibrionota.E_MGPE01000005.1_215	GCA.001797335.1.Bacteria.Bdellovibrionota.E_1
GCA.002877955.1.Bacteria.Caldisericota_PNIL01000020.1_8	GCA.002877955.1.Bacteria.Caldisericota_1
GCF.000166335.1.Bacteria.Firmicutes.A_NC_014657.1_695	GCF.000166335.1.Bacteria.Firmicutes.A_1
GCA.002796125.1.Bacteria.Omnitrophota_PCWA01000066.1_2	GCA.002796125.1.Bacteria.Omnitrophota_1
GCA.001871015.1.Bacteria.Desantisbacteria_MNUO01000095.1_2	GCA.001871015.1.Bacteria.Desantisbacteria_1
GCA.001791795.1.Bacteria.Wallbacteria_MGFH01000193.1_2	GCA.001791795.1.Bacteria.Wallbacteria_1
GCA.001798135.1.Bacteria.UBA10199_MGRJ01000026.1_41	GCA.001798135.1.Bacteria.UBA10199_1
GCA.002418835.1.Bacteria.Spirochaetota_DIEX01000009.1_38	GCA.002418835.1.Bacteria.Spirochaetota_1
GCF.001547735.1.Bacteria.Thermosulfidibacterota_NZ_AP013035.1_83	GCF.001547735.1.Bacteria.Thermosulfidibacterota_1
GCA.001940645.1.Archaea.Asgardarchaeota_MDVS01000010.1_107	GCA.001940645.1.Archaea.Asgardarchaeota_1
GCA.001940725.1.Archaea.Asgardarchaeota_MDVR01000066.1_9	GCA.001940725.1.Archaea.Asgardarchaeota_1
GCA.002506605.1.Archaea.Thermoproteota_DAXX01000055.1_4	GCA.002506605.1.Archaea.Thermoproteota_1
GCA.002699105.1.Bacteria.Bacteroidota_PABJ01000130.1_5	GCA.002699105.1.Bacteria.Bacteroidota_1
GCA.001464165.1.Bacteria.Cyanobacteria_LNEX01000269.1_10	GCA.001464165.1.Bacteria.Cyanobacteria_1
GCA.002402755.1.Bacteria.Planctomycetota_DHGK01000357.1_1	GCA.002402755.1.Bacteria.Planctomycetota_1
GCA.001780825.1.Bacteria.Gemmatimonadota_MFIX01000221.1_4	GCA.001780825.1.Bacteria.Gemmatimonadota_1
GCA.000209225.1.Eukaryota.Cnidaria_EDO45891.1	GCA.000209225.1.Eukaryota.Cnidaria_1
GCF.000091205.1.Eukaryota.Rhodophyta_XP_005538541.1	GCF.000091205.1.Eukaryota.Rhodophyta_1
GCA.001567115.1.Bacteria.OLB16_LMZT01000178.1_33	GCA.001567115.1.Bacteria.OLB16_1
GCA.003167015.1.Bacteria.Bacteroidota_PMUF01000520.1_6	GCA.003167015.1.Bacteria.Bacteroidota_1
GCA.001769385.1.Bacteria.Bacteroidota_MEPB01000026.1_36	GCA.001769385.1.Bacteria.Bacteroidota_1
GCA.001464965.1.Bacteria.Proteobacteria_LNEJ01000014.1_44	GCA.001464965.1.Bacteria.Proteobacteria_1
GCA.002400775.1.Bacteria.Proteobacteria_NVRF01000033.1_14	GCA.002400775.1.Bacteria.Proteobacteria_1
GCA.001447805.1.Bacteria.Proteobacteria_CP013099.1_541	GCA.001447805.1.Bacteria.Proteobacteria_1
GCA.003230085.1.Bacteria.Proteobacteria_QIGV01000183.1_10	GCA.003230085.1.Bacteria.Proteobacteria_1
GCA.002011615.1.Bacteria.WOR.3_MTOH01000001.1_322	GCA.002011615.1.Bacteria.WOR.3_1
GCA.002898315.1.Bacteria.Calescibacterota_BEHV01000003.1_76	GCA.002898315.1.Bacteria.Calescibacterota_1
GCF.001535965.1.Bacteria.Bacteroidota_NZ_CZVI01000026.1_25	GCF.001535965.1.Bacteria.Bacteroidota_1
GCF.000021565.1.Bacteria.Aquificota_NC_012440.1_772	GCF.000021565.1.Bacteria.Aquificota_1
GCA.002328485.1.Bacteria.Desulfobacterota.G_DCUF01000077.1_11	GCA.002328485.1.Bacteria.Desulfobacterota.G_1
GCA.002796105.1.Bacteria.Omnitrophota_PCVX01000075.1_30	GCA.002796105.1.Bacteria.Omnitrophota_1
GCA.001804315.1.Bacteria.Omnitrophota_MHFT01000096.1_12	GCA.001804315.1.Bacteria.Omnitrophota_1
GCA.001804315.1.Bacteria.Omnitrophota_MHFT01000104.1_10	GCA.001804315.1.Bacteria.Omnitrophota_2
GCF.900111575.1.Bacteria.Firmicutes.D_NZ_FOIF01000013.1_14	GCF.900111575.1.Bacteria.Firmicutes.D_1
GCA.002500605.1.Bacteria.Nitrospinota_DLRR01000027.1_82	GCA.002500605.1.Bacteria.Nitrospinota_1
GCF.000328625.1.Bacteria.Firmicutes.F_NC_019978.1_1204	GCF.000328625.1.Bacteria.Firmicutes.F_1
GCF.000020005.1.Bacteria.Firmicutes.D_NC_010718.1_1270	GCF.000020005.1.Bacteria.Firmicutes.D_1
GCA.002791075.1.Bacteria.Ratteibacteria_PFWI01000104.1_4	GCA.002791075.1.Bacteria.Ratteibacteria_1
GCF.000212395.1.Bacteria.Thermodesulfobiota_NC_015499.1_959	GCF.000212395.1.Bacteria.Thermodesulfobiota_1
GCA.002010665.1.Bacteria.Acidobacteriota_MTON01000022.1_37	GCA.002010665.1.Bacteria.Acidobacteriota_1
GCA.002411145.1.Bacteria.Firmicutes.C_DHRA01000085.1_61	GCA.002411145.1.Bacteria.Firmicutes.C_1
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000072.1_86	GCF.002257705.1.Bacteria.Firmicutes.C_1
GCA.002329525.1.Bacteria.Firmicutes.C_DCTI01000268.1_5	GCA.002329525.1.Bacteria.Firmicutes.C_1
GCA.001790645.1.Bacteria.Schekmanbacteria_MGDB01000080.1_2	GCA.001790645.1.Bacteria.Schekmanbacteria_1
GCA.002352935.1.Bacteria.Firmicutes.B_DDHO01000031.1_7	GCA.002352935.1.Bacteria.Firmicutes.B_1
GCA.001443005.1.Bacteria.Synergistota_LEKQ01000001.1_62	GCA.001443005.1.Bacteria.Synergistota_1
GCA.002747255.1.Bacteria.Acidobacteriota_PDUC01000043.1_31	GCA.002747255.1.Bacteria.Acidobacteriota_1
GCF.000177635.2.Bacteria.Chrysiogenota_NC_014836.1_97	GCF.000177635.2.Bacteria.Chrysiogenota_1
GCA.003232385.1.Bacteria.SZUA.79_QIJE01000001.1_117	GCA.003232385.1.Bacteria.SZUA.79_2
GCA.002782605.1.Bacteria.Desulfobacterota_PFIF01000252.1_7	GCA.002782605.1.Bacteria.Desulfobacterota_1
GCA.001797415.1.Bacteria.Desulfobacterota_MGPL01000154.1_3	GCA.001797415.1.Bacteria.Desulfobacterota_1
GCA.002327985.1.Bacteria.Desulfobacterota_DCVM01000165.1_16	GCA.002327985.1.Bacteria.Desulfobacterota_1
GCF.000487995.1.Bacteria.Deferribacterota_NZ_KI530573.1_345	GCF.000487995.1.Bacteria.Deferribacterota_1
GCA.002402635.1.Bacteria.Deferribacterota_DHGE01000086.1_32	GCA.002402635.1.Bacteria.Deferribacterota_1
GCA.001803565.1.Bacteria.Nitrospinota.B_MHDQ01000319.1_4	GCA.001803565.1.Bacteria.Nitrospinota.B_1
GCA.001871795.1.Bacteria.Actinobacteriota_MNXI01000058.1_6	GCA.001871795.1.Bacteria.Actinobacteriota_1
GCA.002366545.1.Bacteria.Actinobacteriota_DFBH01000036.1_5	GCA.002366545.1.Bacteria.Actinobacteriota_1
GCA.000447245.1.Bacteria.Zixibacteria_AUYT01000001.1_2	GCA.000447245.1.Bacteria.Zixibacteria_1
GCA.000447245.1.Bacteria.Zixibacteria_AUYT01000001.1_912	GCA.000447245.1.Bacteria.Zixibacteria_2
GCA.003235575.1.Bacteria.Eisenbacteria_QJVW01000125.1_3	GCA.003235575.1.Bacteria.Eisenbacteria_1
GCA.002796325.1.Bacteria.UBA10199_PCXA01000001.1_252	GCA.002796325.1.Bacteria.UBA10199_1
GCA.001798075.1.Bacteria.UBA10199_MGRG01000005.1_69	GCA.001798075.1.Bacteria.UBA10199_1
GCA.001798715.1.Bacteria.UBA10199_MGSF01000002.1_3	GCA.001798715.1.Bacteria.UBA10199_1
GCA.001798185.1.Bacteria.UBA10199_MGRM01000028.1_79	GCA.001798185.1.Bacteria.UBA10199_1
GCA.001805375.1.Bacteria.Omnitrophota_MHFY01000077.1_10	GCA.001805375.1.Bacteria.Omnitrophota_1
GCA.002877985.1.Bacteria.Desulfobacterota_PNIK01000088.1_6	GCA.002877985.1.Bacteria.Desulfobacterota_1
GCA.002898555.1.Bacteria.Armatimonadota_BEHR01000014.1_38	GCA.002898555.1.Bacteria.Armatimonadota_1
GCA.003503675.1.Bacteria.Cyanobacteria_DOBT01000178.1_3	GCA.003503675.1.Bacteria.Cyanobacteria_1
GCA.002428325.1.Bacteria.UBP4_DIVR01000045.1_98	GCA.002428325.1.Bacteria.UBP4_1
GCF.001950325.1.Bacteria.Firmicutes.B_NZ_BDJL01000024.1_21	GCF.001950325.1.Bacteria.Firmicutes.B_1
GCA.001805575.1.Bacteria.Omnitrophota_MHGN01000063.1_14	GCA.001805575.1.Bacteria.Omnitrophota_1
GCA.003229375.1.Bacteria.Nitrospinota_QIDP01000006.1_15	GCA.003229375.1.Bacteria.Nitrospinota_1
GCF.002207765.1.Bacteria.Firmicutes.B_NZ_BDGJ01000042.1_101	GCF.002207765.1.Bacteria.Firmicutes.B_1
GCF.002607855.1.Bacteria.Firmicutes.B_NZ_AWQQ01000047.1_93	GCF.002607855.1.Bacteria.Firmicutes.B_1
GCA.002418765.1.Bacteria.Firmicutes.B_DIET01000010.1_45	GCA.002418765.1.Bacteria.Firmicutes.B_1
GCF.000024605.1.Bacteria.Firmicutes.B_NC_013385.1_1618	GCF.000024605.1.Bacteria.Firmicutes.B_1
GCA.002345475.1.Bacteria.Firmicutes.H_DDWC01000175.1_1	GCA.002345475.1.Bacteria.Firmicutes.H_1
GCA.001513125.1.Bacteria.DTU030_LFSN01000094.1_5	GCA.001513125.1.Bacteria.DTU030_1
GCF.900176005.1.Bacteria.Firmicutes.B_NZ_LT838272.1_3181	GCF.900176005.1.Bacteria.Firmicutes.B_1
GCF.900100785.1.Bacteria.Firmicutes.B_NZ_FNCP01000002.1_224	GCF.900100785.1.Bacteria.Firmicutes.B_1
GCA.001513545.1.Bacteria.Firmicutes.B_LFTQ01000170.1_13	GCA.001513545.1.Bacteria.Firmicutes.B_1
GCA.002375925.1.Bacteria.Firmicutes.E_DFNE01000132.1_9	GCA.002375925.1.Bacteria.Firmicutes.E_1
GCA.003242675.1.Bacteria.Firmicutes.E_QGVE01000068.1_9	GCA.003242675.1.Bacteria.Firmicutes.E_1
GCF.000019165.1.Bacteria.Firmicutes.B_NC_010337.2_60	GCF.000019165.1.Bacteria.Firmicutes.B_1
GCA.000987045.1.Bacteria.Firmicutes.B_LAKY01000024.1_14	GCA.000987045.1.Bacteria.Firmicutes.B_1
GCA.002398485.1.Bacteria.Firmicutes.B_DGYV01000045.1_34	GCA.002398485.1.Bacteria.Firmicutes.B_1
GCA.003246265.1.Bacteria.Verrucomicrobiota_QKAU01000014.1_16	GCA.003246265.1.Bacteria.Verrucomicrobiota_1
GCA.001789205.1.Bacteria.Fibrobacterota_MFYT01000021.1_31	GCA.001789205.1.Bacteria.Fibrobacterota_1
GCA.003477045.1.Bacteria.Delongbacteria_DMTS01000072.1_6	GCA.003477045.1.Bacteria.Delongbacteria_1
GCA.003242895.1.Bacteria.Margulisbacteria_QKMY01000064.1_9	GCA.003242895.1.Bacteria.Margulisbacteria_1
GCF.000092845.1.Bacteria.Spirochaetota_NC_014150.1_324	GCF.000092845.1.Bacteria.Spirochaetota_1
GCA.001771505.1.Bacteria.Margulisbacteria_MEUA01000009.1_25	GCA.001771505.1.Bacteria.Margulisbacteria_1
GCA.002329495.1.Bacteria.Firmicutes.B_DCTH01000132.1_19	GCA.002329495.1.Bacteria.Firmicutes.B_1
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000113.1_41	GCF.002257705.1.Bacteria.Firmicutes.C_2
GCF.002257705.1.Bacteria.Firmicutes.C_NZ_LSLK01000061.1_62	GCF.002257705.1.Bacteria.Firmicutes.C_3
GCF.000430605.1.Bacteria.Firmicutes.C_WP_027938678.1	GCF.000430605.1.Bacteria.Firmicutes.C_1
GCA.001777915.1.Bacteria.Edwardsbacteria_MFFN01000001.1_120	GCA.001777915.1.Bacteria.Edwardsbacteria_1
GCF.000620305.1.Bacteria.Firmicutes.B_NZ_KK211106.1_169	GCF.000620305.1.Bacteria.Firmicutes.B_1
GCF.002224645.1.Bacteria.Firmicutes.B_NZ_CP022121.1_3413	GCF.002224645.1.Bacteria.Firmicutes.B_1
GCA.003444595.1.Bacteria.Firmicutes.D_DLUO01000116.1_5	GCA.003444595.1.Bacteria.Firmicutes.D_1
GCA.003444595.1.Bacteria.Firmicutes.D_DLUO01000053.1_21	GCA.003444595.1.Bacteria.Firmicutes.D_2
GCA.002376005.1.Bacteria.Firmicutes.E_DFNJ01000004.1_19	GCA.002376005.1.Bacteria.Firmicutes.E_1
GCA.002335385.1.Bacteria.Acidobacteriota_DCVK01000062.1_19	GCA.002335385.1.Bacteria.Acidobacteriota_1
GCF.001049895.1.Bacteria.Firmicutes_NZ_CVPE01000006.1_1207	GCF.001049895.1.Bacteria.Firmicutes_1
GCF.002335525.1.Bacteria.Firmicutes_NZ_BDUF01000109.1_248	GCF.002335525.1.Bacteria.Firmicutes_1
GCF.000092905.1.Bacteria.Firmicutes_NC_014098.1_2624	GCF.000092905.1.Bacteria.Firmicutes_1
GCF.001561915.1.Bacteria.Firmicutes_NZ_LSKU01000001.1_1506	GCF.001561915.1.Bacteria.Firmicutes_1
GCA.000961765.1.Bacteria.Firmicutes.B_LADT01000040.1_47	GCA.000961765.1.Bacteria.Firmicutes.B_1
GCF.001742305.1.Bacteria.Firmicutes_NZ_MJAT01000033.1_195	GCF.001742305.1.Bacteria.Firmicutes_1
GCA.001778455.1.Bacteria.Bipolaricaulota_MFGX01000099.1_1	GCA.001778455.1.Bacteria.Bipolaricaulota_1
GCA.002408345.1.Bacteria.Firmicutes.G_DHRX01000167.1_1	GCA.002408345.1.Bacteria.Firmicutes.G_1
GCA.002376045.1.Bacteria.Firmicutes.A_DFNM01000217.1_7	GCA.002376045.1.Bacteria.Firmicutes.A_1
GCF.900142995.1.Bacteria.Firmicutes.A_NZ_FRCR01000005.1_121	GCF.900142995.1.Bacteria.Firmicutes.A_1
GCA.003070825.1.Bacteria.Firmicutes.F_QBLP01000041.1_9	GCA.003070825.1.Bacteria.Firmicutes.F_1
GCA.002478245.1.Bacteria.UBP18_DLMW01000083.1_3	GCA.002478245.1.Bacteria.UBP18_1
GCA.001873945.1.Bacteria.UBA9089_MNYI01000049.1_4	GCA.001873945.1.Bacteria.UBA9089_1
GCA.002412545.1.Bacteria.Elusimicrobiota_DHVG01000025.1_67	GCA.002412545.1.Bacteria.Elusimicrobiota_1
GCA.002897715.1.Bacteria.Actinobacteriota_BDUA01000009.1_61	GCA.002897715.1.Bacteria.Actinobacteriota_1
GCA.001768675.1.Bacteria.Actinobacteriota_MELN01000013.1_4	GCA.001768675.1.Bacteria.Actinobacteriota_1
GCA.002347645.1.Bacteria.Actinobacteriota_DDYF01000029.1_20	GCA.002347645.1.Bacteria.Actinobacteriota_1
GCA.001768645.1.Bacteria.Actinobacteriota_MELK01000040.1_117	GCA.001768645.1.Bacteria.Actinobacteriota_1
GCA.003157385.1.Bacteria.Actinobacteriota_PMJJ01000067.1_3	GCA.003157385.1.Bacteria.Actinobacteriota_1
GCA.002347365.1.Bacteria.Actinobacteriota_DDWT01000034.1_33	GCA.002347365.1.Bacteria.Actinobacteriota_1
GCF.001611275.1.Bacteria.Desulfobacterota_NZ_CP015080.1_3284	GCF.001611275.1.Bacteria.Desulfobacterota_1
GCA.002011835.1.Bacteria.Desulfobacterota_MTPE01000355.1_4	GCA.002011835.1.Bacteria.Desulfobacterota_1
GCF.900104455.1.Bacteria.Firmicutes.C_NZ_FNHB01000018.1_20	GCF.900104455.1.Bacteria.Firmicutes.C_1
GCA.002411145.1.Bacteria.Firmicutes.C_DHRA01000015.1_53	GCA.002411145.1.Bacteria.Firmicutes.C_2
GCA.002327765.1.Bacteria.Desulfobacterota.E_DCUH01000081.1_4	GCA.002327765.1.Bacteria.Desulfobacterota.E_1
GCA.002327305.1.Bacteria.Acidobacteriota_DCUZ01000111.1_13	GCA.002327305.1.Bacteria.Acidobacteriota_1
GCA.002436065.1.Bacteria.Chloroflexota_DIXP01000034.1_20	GCA.002436065.1.Bacteria.Chloroflexota_1
GCA.003167155.1.Bacteria.Eremiobacterota_PMTY01000064.1_25	GCA.003167155.1.Bacteria.Eremiobacterota_1
GCA.002348465.1.Bacteria.Gemmatimonadota_DEBI01000028.1_30	GCA.002348465.1.Bacteria.Gemmatimonadota_1
GCA.003223995.1.Bacteria.Acidobacteriota_QHYA01000096.1_6	GCA.003223995.1.Bacteria.Acidobacteriota_1
GCA.003229915.1.Bacteria.Chloroflexota_QIGA01000114.1_3	GCA.003229915.1.Bacteria.Chloroflexota_1
GCA.002352365.1.Bacteria.Chloroflexota_DEIJ01000027.1_10	GCA.002352365.1.Bacteria.Chloroflexota_1
GCA.002367275.1.Bacteria.Chloroflexota_DFBE01000081.1_3	GCA.002367275.1.Bacteria.Chloroflexota_1
GCA.002011475.1.Bacteria.Chloroflexota_MTNP01000051.1_99	GCA.002011475.1.Bacteria.Chloroflexota_1
GCF.001953175.1.Bacteria.Chloroflexota_NZ_CP018258.1_408	GCF.001953175.1.Bacteria.Chloroflexota_1
GCA.002366595.1.Bacteria.Chloroflexota_DFBK01000086.1_30	GCA.002366595.1.Bacteria.Chloroflexota_1
GCA.002423325.1.Bacteria.Chloroflexota_DIVQ01000151.1_4	GCA.002423325.1.Bacteria.Chloroflexota_1
GCF.001029505.1.Bacteria.Actinobacteriota_NZ_LEKH01000003.1_7	GCF.001029505.1.Bacteria.Actinobacteriota_1
GCA.002348045.1.Bacteria.Chloroflexota_DDYO01000163.1_6	GCA.002348045.1.Bacteria.Chloroflexota_1
GCA.002898895.1.Bacteria.Armatimonadota_BEHS01000004.1_11	GCA.002898895.1.Bacteria.Armatimonadota_1
GCA.001513145.1.Bacteria.Firmicutes.G_LFSP01000029.1_23	GCA.001513145.1.Bacteria.Firmicutes.G_1
GCA.002452295.1.Bacteria.Firmicutes.G_DKEX01000017.1_6	GCA.002452295.1.Bacteria.Firmicutes.G_1
GCA.003230535.1.Bacteria.SZUA.182_QIEW01000470.1_9	GCA.003230535.1.Bacteria.SZUA.182_1
GCA.003290465.1.Bacteria.Sumerlaeota_CP030759.1_503	GCA.003290465.1.Bacteria.Sumerlaeota_1
GCA.003152095.1.Bacteria.Acidobacteriota_PLZI01000034.1_32	GCA.003152095.1.Bacteria.Acidobacteriota_1
GCA.003153275.1.Bacteria.Nitrospirota_PLXX01000113.1_13	GCA.003153275.1.Bacteria.Nitrospirota_1
GCA.003454665.1.Bacteria.Nitrospirota_DMKB01000058.1_6	GCA.003454665.1.Bacteria.Nitrospirota_1
GCA.003454665.1.Bacteria.Nitrospirota_DMKB01000284.1_3	GCA.003454665.1.Bacteria.Nitrospirota_2
GCA.002011735.1.Bacteria.Nitrospirota_MTOQ01000013.1_7	GCA.002011735.1.Bacteria.Nitrospirota_1
